Cat,Res,Region,Dataset,mean,sem,median,ci68_hi,ci68_lo
Reanalysis,2.0,Tropics,pr_merra,25.670732871838233,21.99106363297219,-1.6467507331041247,47.661796504810425,3.679669238866044
Reanalysis,2.0,Tropics,pr_noaa,16.51430934000256,6.06829979316926,0.29875947870043945,22.582609133171818,10.446009546833299
Satellite,0.05,Amazon,pr_chirps,-0.12965332425523646,0.06737243102741311,-0.010989174647228204,-0.06228089322782335,-0.19702575528264957
Satellite,0.05,Amazon,pr_per_ccs,0.15674442068103175,0.15506032082916,-0.007121310903257268,0.3118047415101918,0.001684099851871762
Satellite,0.05,Amazon,pr_per_ccscdr,0.2081788160557975,0.16266625330387016,-0.007250116715911256,0.37084506935966766,0.04551256275192733
Satellite,0.05,Amazon,pr_per_now,0.0005441331068555177,0.10018009326608171,-0.002516558163840862,0.10072422637293722,-0.0996359601592262
Satellite,0.05,Congo,pr_chirps,0.07325488224448128,0.061126957005059046,0.009067407107457213,0.13438183924954034,0.01212792523942223
Satellite,0.05,Congo,pr_per_ccs,0.10854476275881808,0.21778645143312467,0.015374240741443116,0.3263312141919428,-0.10924168867430659
Satellite,0.05,Congo,pr_per_ccscdr,0.009378632951347853,0.17775645108318094,0.0050796357513624,0.1871350840345288,-0.16837781813183308
Satellite,0.05,Congo,pr_per_now,0.20832875182573923,0.1142924217158584,-0.002861258668498179,0.32262117354159764,0.09403633010988083
Satellite,0.05,SEA,pr_chirps,-0.2911077304625037,0.10715510520622254,-0.010988929801605912,-0.18395262525628117,-0.3982628356687262
Satellite,0.05,SEA,pr_per_ccs,-0.04302514287016588,0.17017220326820834,-0.025875650674801916,0.12714706039804247,-0.2131973461383742
Satellite,0.05,SEA,pr_per_ccscdr,-0.2939117382883986,0.2536174991392879,0.0009223295529974358,-0.04029423914911073,-0.5475292374276866
Satellite,0.05,SEA,pr_per_now,0.42537014356467223,0.12017080741024036,0.016347322110136085,0.5455409509749126,0.30519933615443184
Satellite,0.05,Tropics,pr_chirps,-0.0929874996644407,0.047844319584442206,-0.004866516311268674,-0.04514318007999849,-0.1408318192488829
Satellite,0.05,Tropics,pr_per_ccs,0.04776542357631091,0.08713227726085994,-0.005263573002984399,0.13489770083717084,-0.03936685368454903
Satellite,0.05,Tropics,pr_per_ccscdr,-0.010793129101867775,0.10310091562719798,0.0017915073525998032,0.0923077865253302,-0.11389404472906575
Satellite,0.05,Tropics,pr_per_now,0.17856351167252,0.05803417200083439,0.003590195631200485,0.23659768367335438,0.12052933967168561
Satellite,0.1,Amazon,pr_chirps,-0.6017104223924665,0.23149537082458527,-0.030379907514289282,-0.37021505156788126,-0.8332057932170518
Satellite,0.1,Amazon,pr_gpm,-0.410195272598615,0.2553428202115004,-0.06173224774019405,-0.1548524523871146,-0.6655380928101153
Satellite,0.1,Amazon,pr_per_ccs,-0.3835036908527081,0.43831324730877397,-0.03039546525623353,0.05480955645606589,-0.821816938161482
Satellite,0.1,Amazon,pr_per_ccscdr,0.16243338065426538,0.44803189588856507,-0.014354966076678062,0.6104652765428304,-0.2855985152342997
Satellite,0.1,Amazon,pr_per_now,-0.27283090508856117,0.3105867802195079,-0.025220650531312002,0.03775587513094675,-0.583417685308069
Satellite,0.1,Congo,pr_chirps,0.10411163662574181,0.21255881481179892,0.0079358405466386,0.31667045143754075,-0.1084471781860571
Satellite,0.1,Congo,pr_gpm,0.12220579354658652,0.30185009857606987,-0.039231201183049444,0.4240558921226564,-0.17964430502948336
Satellite,0.1,Congo,pr_per_ccs,-0.2484058754977228,0.6462277829068221,-0.042031006850222624,0.39782190740909934,-0.8946336584045449
