lat,lon,Region,historic_forest_change,proj_forest_change
0.0,114.0,Tropics,-0.07187500062433116,-6.015989649923606e-11
0.0,116.0,Tropics,-30.961274989668553,-3.9049987758591342
0.0,120.0,Tropics,-17.90687498152799,-29.245001783843108
2.0,-78.0,Tropics,-0.027250000122592155,
2.0,-74.0,Tropics,-22.44754999235476,-0.22999724349340625
2.0,-72.0,Tropics,-1.4355750012867077,
2.0,-70.0,Tropics,-0.007500000002750085,-12.734990055780251
2.0,-68.0,Tropics,-0.11349999998377314,-3.6050335750811726
2.0,-66.0,Tropics,-0.012500000023493385,-22.870000339473304
2.0,-64.0,Tropics,-0.007500000007084395,-2.895027091788058
2.0,-62.0,Tropics,-0.002500000022124027,
2.0,-58.0,Tropics,-0.02999999998328917,-0.86999883195699
2.0,-54.0,Tropics,-0.1076749999550799,
2.0,-52.0,Tropics,-0.11197499999157401,
2.0,10.0,Tropics,-1.3069500015529485,-41.40469381800435
2.0,12.0,Tropics,-0.2568500028473579,-95.11995807032493
2.0,14.0,Tropics,-0.11017499997718971,-99.47500013164118
2.0,16.0,Tropics,-0.07227499999544307,-40.99000840185081
2.0,18.0,Tropics,-1.2663500022861314,-98.64501349713696
2.0,20.0,Tropics,-4.365100000078343,-98.70000156245939
2.0,22.0,Tropics,-11.145599992140134,
2.0,24.0,Tropics,-0.0050000000218091145,
2.0,26.0,Tropics,-1.081477307707246e-08,-21.83021809773774
2.0,28.0,Tropics,-2.106048668792937e-10,
2.0,30.0,Tropics,-17.30622499180857,-54.670043209062854
2.0,100.0,Tropics,-38.96140002508986,-13.729994782356126
2.0,104.0,Tropics,-43.50667503145122,-25.83502541428131
2.0,112.0,Tropics,-3.453374998767657,-31.160059446338344
2.0,114.0,Tropics,-2.388775000171165,-57.230079850155235
2.0,116.0,Tropics,-0.10184999993107624,-37.74996682411811
4.0,-76.0,Tropics,-0.2903750003630279,-22.53969017794456
4.0,-74.0,Tropics,-0.2275999999814502,-0.2750020574000736
4.0,-70.0,Tropics,-0.2815000002730699,-0.08499855301440241
4.0,-68.0,Tropics,-8.66225000070564,-12.120177549991247
4.0,-66.0,Tropics,-1.1283418643870391e-11,-0.555008124294558
4.0,-64.0,Tropics,-0.044774999978926644,-7.255110615258757
4.0,-62.0,Tropics,-7.048583938740194e-12,-5.876781399182979e-12
4.0,-58.0,Tropics,-0.037000000005107836,-43.47476693612976
4.0,-56.0,Tropics,-0.004999999997806981,-0.9249994648059702
4.0,-54.0,Tropics,-0.09200000023825794,-0.6299932393191939
4.0,-52.0,Tropics,-0.17490000009048856,-14.079796863670815
4.0,10.0,Tropics,-15.610024995639236,-37.9398212790598
4.0,12.0,Tropics,-7.911699999786904,-16.789774266056227
4.0,14.0,Tropics,-0.9231750012248199,
4.0,16.0,Tropics,-0.13830000045962265,-4.246721755813607e-09
4.0,18.0,Tropics,-3.9582749969587923,-76.10514609960867
4.0,22.0,Tropics,-0.21479999991395005,-46.624848956594555
4.0,24.0,Tropics,-11.157624993971694,
